rowId,flowStint,gameId,stint,competitionId,updated,teamId,teamMarket,teamName,conferenceId,divisionId,isExhib,inDivision,lineupId,periodNumber,gameFlowPeriod,sStart,sEnd,cStart,cEnd,secs,ptsScored,ptsAgst,netPts,fgm,fga,fgm2,fga2,fgm3,fga3,ftm,fta,ast,stl,tov,drb,orb,fgmAgst,fgaAgst,fgm2Agst,fga2Agst,fgm3Agst,fga3Agst,ftaAgst,astAgst,tovAgst,stlAgst,drbAgst,orbAgst,cDiff,reb,rebAgst,fg2Pct,fg3Pct,ftPct,oPoss,dPoss,avgPoss,oppp,dppp,netppp,isQualified
2168345-105556-17,17,2168345,19,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687908-1600149,4,4,1800.0,1848.0,10:00,09:12,48.0,0,2,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,00:48,0,0,,,,1.0,1.0,1.0,0.0,2.0,-2.0,false
2168345-105556-18,18,2168345,20,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687908-1321482,4,4,1848.0,1977.0,09:12,07:03,129.0,0,4,-4,0,5,0,4,0,1,0,0,0,1,1,1,1,2,3,2,3,0,0,0,1,2,1,4,0,02:09,2,4,0.0,0.0,,4.93,5.0,4.965,0.0,0.8,-0.8,true
2168345-105556-19,19,2168345,21,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1600147-1321481-1687908-1321482,4,4,1977.0,2044.0,07:03,05:56,67.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,0,2,0,0,0,0,1,1,0,0,01:07,2,0,,,,2.0,3.0,2.5,0.0,0.0,0.0,true
2168345-105556-20,20,2168345,22,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892471-1321481-1321480-1600149-1321482,4,4,2044.0,2090.0,05:56,05:10,46.0,0,0,0,0,3,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00:46,1,0,0.0,0.0,,0.79,0.0,0.395,0.0,,,false
2168345-105556-21,21,2168345,23,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1892471-1321480-1600149-1321482,4,4,2090.0,2148.0,05:10,04:12,58.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,00:58,1,1,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,false
2168345-105556-22,22,2168345,24,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1600149-1321482,4,4,2148.0,2400.0,04:12,00:00,251.6,7,11,-4,1,3,1,2,0,1,5,7,1,0,1,3,0,4,12,3,7,1,5,2,1,0,0,3,5,04:12,3,8,0.5,0.0,0.7143,6.8000000000000007,7.45,7.125,1.0294,1.4765,-0.4471,true
2168345-105556-23,23,2168345,24,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1600149-1321482,1,5,2400.0,2520.0,05:00,03:00,120.0,4,3,1,1,2,1,1,0,1,2,2,1,0,0,1,0,1,3,0,2,1,1,0,1,0,0,1,1,02:00,1,2,1.0,0.0,1.0,2.8,1.93,2.365,1.4286,1.5544,-0.1258,false
2168345-105556-24,24,2168345,25,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687908-1321482,1,5,2520.0,2671.2,03:00,00:28,151.2,4,9,-5,2,5,2,4,0,1,0,0,1,0,0,0,2,3,3,2,2,1,1,2,1,0,0,1,0,02:31,2,1,0.5,0.0,,2.86,3.8,3.33,1.3986,2.3684,-0.9698,true
2168345-105556-25,25,2168345,26,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1892471-1600147-1321477-1687908,1,5,2671.2,2672.8,00:28,00:27,1.6,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:02,0,0,,,1.0,0.8,0.0,0.4,2.5,,,false
2168345-105556-26,26,2168345,28,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1892471-1600147-1321477-1687908,1,5,2672.8,2690.0,00:27,00:10,17.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:17,0,0,,,,0.0,1.0,0.5,,0.0,,false
